id,name,city,address_1,address_2,lat,lon
12333552,"Infusion Dev","London","Exchange Tower, 7th Floor, 2 Harbour Exchange Square, E14 9GE",,51.499058,-0.014863
12336342,"Google Hangout","London","londonwebmeetup.org street",,51.511215,-0.119824
1236675,"SkillsMatter","London EC1V 7DP","116-120 Goswell Road","116-120 Goswell Road",51.52653,-0.100107
12371662,"JustAddRed","London","81 Leonard Street, EC2A 4QS",,51.524712,-0.083073
12405302,"Minster Exchange ","London","Minster Pavement, Mincing Lane, EC3R 7PP",,51.511612,-0.080728
1244904,"Fry-IT","London SE1 9PG","503 Enterprise House","1/2 Hatfields",51.50754,-0.107718
12503012,"London Hackspace","London","447 Hackney Road, E2 9DY",,51.532082,-0.060795
12512292,"Twickenham Stadium","London","Twickenham",,51.511215,-0.119824
125360,"The Old Crown, Bloomsbury","London","33 New Oxford Street","London, WC1A 1BH",51.52,-0.1
12600362,"Congress Centre,","London, WC1B 3LS","28 Great Russell Street",,51.517376,-0.129372
1261589,"The Old Monk Exchange","London","Strutton Ground","(opposite New Scotland Yard)",51.497397,-0.133906
1264766,"eBay / PayPal Office","Richmond","Whittaker House","2 Whittaker Avenue",51.461342,-0.303547
12661052,"Club Workspace Chiswick","London","10 Barley Mow Passage, W4 4PH",,51.491844,-0.261768
12661052,"Club Workspace Chiswick","London","10 Barley Mow Passage, W4 4PH",,51.49191,-0.262062
1268734,"Infusion Development","Poplar","40 Marsh Wall","2nd Floor",51.50162,-0.023799
12737932,"Financial Times - FT Offices, Southwark Bridge","London","One Southwark Bridge, 6th floor SE1 9HL ",,51.507465,-0.09442
1275562,"The Old Truman Brewery","London, E1 6QL","91-95 Brick Lane",,51.521946,-0.071709
12767312,"Royal Festival Hall","London","Southbank Centre","Belvedere Road,  SE1 8XX",51.506437,-0.104342
12802982,"Leukaemia & Lymphoma Research, ","WC1R 4TH","39-40 Eagle Street, London",,51.518883,-0.117213
12874422,"hammersmith ram","London","at 81 King St Hammersmith W6 9HW",,51.49247,-0.227705
12907852,"The Makers Academy","London","Floor 4, Epworth House, 25 City Rd. London, EC1Y 1AA ",,51.523125,-0.08702
12939492,"Sports Bar & Grill Farringdon","London"," 19-25 Cowcross Street, London, EC1M 6DQ",,51.520306,-0.103397
1294160,"Edinboro Castle","London","57 Mornington Terrace","NW1 7RU",51.535939,-0.144442
1302327,"2e2 Training Ltd","London","Gillingham House","38-44 Gillingham Street",51.493862,-0.140953
13032532,"Expedia","London","Angel Building, 407 St John St, London, England EC1V",,51.526794,-0.098381
